district,population,total_hospitals,total_clinics,total_doctors,total_nurses,total_ambulances,beds_available,occupied_beds,active_transfers
Pune,650760,4,7,79,62,10,552,541,117
Pune,650760,4,7,79,62,10,552,541,117
Pune,650760,4,7,79,62,10,552,541,117
Pune,650760,4,7,79,62,10,552,541,117
Pune,650760,4,7,79,62,10,552,541,117
Pune,650760,4,7,79,62,10,552,541,117
Mumbai,3075279,3,16,144,99,16,739,997,215
Mumbai,3075279,3,16,144,99,16,739,997,215
Mumbai,3075279,3,16,144,99,16,739,997,215
Mumbai,3075279,3,16,144,99,16,739,997,215
Mumbai,3075279,3,16,144,99,16,739,997,215
Mumbai,3075279,3,16,144,99,16,739,997,215
Nashik,518117,4,19,158,125,24,945,586,245
Nashik,518117,4,19,158,125,24,945,586,245
Nashik,518117,4,19,158,125,24,945,586,245
Nashik,518117,4,19,158,125,24,945,586,245
Nashik,518117,4,19,158,125,24,945,586,245
Nashik,518117,4,19,158,125,24,945,586,245
Nagpur,1717321,2,17,141,105,21,401,759,246
Nagpur,1717321,2,17,141,105,21,401,759,246
Nagpur,1717321,2,17,141,105,21,401,759,246
Nagpur,1717321,2,17,141,105,21,401,759,246
Nagpur,1717321,2,17,141,105,21,401,759,246
Nagpur,1717321,2,17,141,105,21,401,759,246
Aurangabad,2485801,2,19,142,144,23,505,286,259
Aurangabad,2485801,2,19,142,144,23,505,286,259
Aurangabad,2485801,2,19,142,144,23,505,286,259
Aurangabad,2485801,2,19,142,144,23,505,286,259
Aurangabad,2485801,2,19,142,144,23,505,286,259
Aurangabad,2485801,2,19,142,144,23,505,286,259
Solapur,2832786,2,21,149,144,20,716,725,268
Solapur,2832786,2,21,149,144,20,716,725,268
Solapur,2832786,2,21,149,144,20,716,725,268
Solapur,2832786,2,21,149,144,20,716,725,268
Solapur,2832786,2,21,149,144,20,716,725,268
Solapur,2832786,2,21,149,144,20,716,725,268
Kolhapur,2743661,3,15,95,92,20,869,753,222
Kolhapur,2743661,3,15,95,92,20,869,753,222
Kolhapur,2743661,3,15,95,92,20,869,753,222
Kolhapur,2743661,3,15,95,92,20,869,753,222
Kolhapur,2743661,3,15,95,92,20,869,753,222
Kolhapur,2743661,3,15,95,92,20,869,753,222
Satara,4830947,3,21,154,149,19,723,710,244
Satara,4830947,3,21,154,149,19,723,710,244
Satara,4830947,3,21,154,149,19,723,710,244
Satara,4830947,3,21,154,149,19,723,710,244
Satara,4830947,3,21,154,149,19,723,710,244
Satara,4830947,3,21,154,149,19,723,710,244
Sangli,3955975,3,21,155,115,28,899,644,277
Sangli,3955975,3,21,155,115,28,899,644,277
Sangli,3955975,3,21,155,115,28,899,644,277
Sangli,3955975,3,21,155,115,28,899,644,277
Sangli,3955975,3,21,155,115,28,899,644,277
Sangli,3955975,3,21,155,115,28,899,644,277
Amravati,988812,1,15,109,86,12,430,263,209
Amravati,988812,1,15,109,86,12,430,263,209
Amravati,988812,1,15,109,86,12,430,263,209
Amravati,988812,1,15,109,86,12,430,263,209
Amravati,988812,1,15,109,86,12,430,263,209
Amravati,988812,1,15,109,86,12,430,263,209
Latur,2878871,4,22,176,160,22,1411,449,285
Latur,2878871,4,22,176,160,22,1411,449,285
Latur,2878871,4,22,176,160,22,1411,449,285
Latur,2878871,4,22,176,160,22,1411,449,285
Latur,2878871,4,22,176,160,22,1411,449,285
Latur,2878871,4,22,176,160,22,1411,449,285
Jalgaon,3314540,5,15,132,131,29,1352,980,233
Jalgaon,3314540,5,15,132,131,29,1352,980,233
Jalgaon,3314540,5,15,132,131,29,1352,980,233
Jalgaon,3314540,5,15,132,131,29,1352,980,233
Jalgaon,3314540,5,15,132,131,29,1352,980,233
Jalgaon,3314540,5,15,132,131,29,1352,980,233
Ahmednagar,3559368,2,17,118,93,17,739,502,189
Ahmednagar,3559368,2,17,118,93,17,739,502,189
Ahmednagar,3559368,2,17,118,93,17,739,502,189
Ahmednagar,3559368,2,17,118,93,17,739,502,189
Ahmednagar,3559368,2,17,118,93,17,739,502,189
Ahmednagar,3559368,2,17,118,93,17,739,502,189
Dhule,2691798,5,18,153,133,28,1114,792,270
Dhule,2691798,5,18,153,133,28,1114,792,270
Dhule,2691798,5,18,153,133,28,1114,792,270
Dhule,2691798,5,18,153,133,28,1114,792,270
Dhule,2691798,5,18,153,133,28,1114,792,270
Dhule,2691798,5,18,153,133,28,1114,792,270
Raigad,3910668,2,12,95,78,11,283,521,176
Raigad,3910668,2,12,95,78,11,283,521,176
Raigad,3910668,2,12,95,78,11,283,521,176
Raigad,3910668,2,12,95,78,11,283,521,176
Raigad,3910668,2,12,95,78,11,283,521,176
Raigad,3910668,2,12,95,78,11,283,521,176
