pharmacy_id,pharmacy_name,district,city,ownership,availability_status
PHR0001,Satara Health Chemist,Satara,Satara,Government,Closed
PHR0002,Kamptee Pharma Store,Nagpur,Kamptee,Private,Open
PHR0003,Shrirampur Medical Dispensary,Ahmednagar,Shrirampur,Government,Open
PHR0004,Dhule Health Dispensary,Dhule,Dhule,Private,Open
PHR0005,Chopda Care Dispensary,Jalgaon,Chopda,Private,Open
PHR0006,Paithan Health Store,Aurangabad,Paithan,Private,Closed
PHR0007,Sillod Health Pharmacy,Aurangabad,Sillod,Private,Open
PHR0008,Jalgaon Care Pharmacy,Jalgaon,Jalgaon,Government,Open
PHR0009,Morshi Health Store,Amravati,Morshi,Government,Open
PHR0010,Hingna Medical Chemist,Nagpur,Hingna,Private,Open
PHR0011,Dadar Pharma Dispensary,Mumbai,Dadar,Private,Open
PHR0012,Kupwad Wellness Dispensary,Sangli,Kupwad,Private,Open
PHR0013,Kopargaon Care Pharmacy,Ahmednagar,Kopargaon,Private,Open
PHR0014,Nagpur Pharma Pharmacy,Nagpur,Nagpur,Private,Open
PHR0015,Ausa Pharma Pharmacy,Latur,Ausa,Government,Open
PHR0016,Morshi Health Dispensary,Amravati,Morshi,Private,Open
PHR0017,Talegaon Wellness Store,Pune,Talegaon,Private,Open
PHR0018,Nashik Care Chemist,Nashik,Nashik,Private,Open
PHR0019,Niphad Health Pharmacy,Nashik,Niphad,Private,Closed
PHR0020,Shirur Pharma Pharmacy,Pune,Shirur,Private,Open
PHR0021,Mahabaleshwar Wellness Pharmacy,Satara,Mahabaleshwar,Private,Closed
PHR0022,Udgir Wellness Chemist,Latur,Udgir,Private,Open
PHR0023,Mahabaleshwar Medical Dispensary,Satara,Mahabaleshwar,Private,Open
PHR0024,Nandurbar Care Chemist,Dhule,Nandurbar,Government,Open
PHR0025,Mohol Wellness Dispensary,Solapur,Mohol,Private,Open
PHR0026,Achalpur Medical Store,Amravati,Achalpur,Private,Open
PHR0027,Gangapur Medical Dispensary,Aurangabad,Gangapur,Private,Open
PHR0028,Phaltan Care Pharmacy,Satara,Phaltan,Private,Open
PHR0029,Morshi Health Dispensary,Amravati,Morshi,Private,Open
PHR0030,Satara Health Dispensary,Satara,Satara,Government,Closed
PHR0031,Deoni Wellness Store,Latur,Deoni,Private,Open
PHR0032,Baramati Pharma Chemist,Pune,Baramati,Private,Open
PHR0033,Pandharpur Medical Chemist,Solapur,Pandharpur,Government,Open
PHR0034,Kopargaon Pharma Pharmacy,Ahmednagar,Kopargaon,Private,Open
PHR0035,Jalgaon Pharma Chemist,Jalgaon,Jalgaon,Government,Open
PHR0036,Wai Medical Store,Satara,Wai,Government,Closed
PHR0037,Pen Pharma Dispensary,Raigad,Pen,Government,Open
PHR0038,Mangalvedhe Care Store,Solapur,Mangalvedhe,Private,Open
PHR0039,Alibag Wellness Chemist,Raigad,Alibag,Government,Open
PHR0040,Shirpur Pharma Store,Dhule,Shirpur,Private,Closed
PHR0041,Dadar Pharma Chemist,Mumbai,Dadar,Private,Open
PHR0042,Pen Health Chemist,Raigad,Pen,Government,Open
PHR0043,Tasgaon Wellness Dispensary,Sangli,Tasgaon,Private,Open
PHR0044,Kamptee Health Store,Nagpur,Kamptee,Private,Closed
PHR0045,Amravati Pharma Dispensary,Amravati,Amravati,Private,Open
