date,facility_id,patients_in,patients_out,beds_occupied,beds_available,ambulances_used,doctors_available,staff_available
2024-12-19,FAC0015,24,11,161,11,1,9,7
2023-07-24,FAC0161,0,0,9,2,0,4,9
2024-11-26,FAC0097,2,0,38,48,0,6,15
2024-07-21,FAC0276,4,2,20,13,0,3,15
2023-11-21,FAC0180,19,15,72,106,0,2,14
2024-09-22,FAC0073,1,1,6,2,0,2,21
2024-07-28,FAC0082,2,1,7,16,1,3,13
2024-06-15,FAC0157,4,0,18,12,1,7,12
2024-12-08,FAC0079,2,1,15,2,0,9,26
2023-04-02,FAC0165,0,28,166,126,2,1,15
2024-06-14,FAC0166,0,2,13,4,1,6,14
2024-06-28,FAC0291,5,3,27,11,0,5,11
2023-08-17,FAC0187,3,36,295,50,0,8,10
2024-07-22,FAC0179,6,1,29,14,0,9,13
2024-06-14,FAC0003,1,0,18,2,0,6,11
2024-11-23,FAC0016,2,1,11,7,0,3,12
2023-10-22,FAC0060,11,7,110,18,1,6,14
2024-07-04,FAC0276,4,3,20,13,0,6,10
2024-02-03,FAC0174,19,13,61,91,4,1,8
2023-12-03,FAC0153,5,1,22,14,1,3,13
2023-06-24,FAC0187,4,38,287,58,3,9,13
2023-09-22,FAC0140,3,3,30,2,0,6,14
2023-10-29,FAC0050,6,5,15,34,1,7,9
2024-10-18,FAC0245,5,0,37,7,0,2,22
2024-09-05,FAC0075,0,1,10,2,0,8,13
2023-01-26,FAC0004,2,2,11,13,1,6,27
2024-04-05,FAC0038,7,3,21,43,0,7,10
2024-12-17,FAC0262,2,2,19,3,1,3,11
2024-04-20,FAC0256,4,0,26,2,1,5,10
2024-10-13,FAC0181,0,5,43,4,0,3,14
2023-06-17,FAC0218,0,0,3,8,2,9,15
2023-01-07,FAC0001,2,0,8,16,1,3,10
2023-04-16,FAC0165,42,5,201,91,0,1,10
2024-03-19,FAC0122,0,1,9,6,1,2,16
2023-08-05,FAC0038,0,1,46,18,1,6,13
2023-04-04,FAC0167,8,0,30,34,0,3,5
2024-06-19,FAC0114,4,4,17,19,1,3,18
2023-04-13,FAC0221,46,29,143,177,2,3,6
2024-04-13,FAC0011,0,0,10,9,1,7,5
2023-11-19,FAC0006,7,19,84,160,1,7,13
2023-12-19,FAC0297,0,1,12,9,1,7,9
2024-04-17,FAC0002,0,3,29,13,0,4,12
2023-05-14,FAC0227,4,27,365,87,0,5,10
2024-03-06,FAC0286,0,2,8,10,1,1,6
2023-04-13,FAC0135,1,3,10,20,1,5,17
2024-09-26,FAC0233,0,0,7,1,0,8,17
2023-04-07,FAC0125,3,0,15,8,0,6,10
2024-04-15,FAC0255,4,2,14,23,0,4,9
2024-06-24,FAC0210,3,3,15,35,0,4,13
2023-09-24,FAC0247,1,1,11,1,1,2,13
2023-10-14,FAC0215,2,2,25,15,4,3,14
2024-04-19,FAC0199,4,0,26,5,1,1,23
2023-11-11,FAC0019,2,3,26,5,1,5,12
2023-04-20,FAC0076,5,1,12,25,1,7,8
2023-09-15,FAC0077,1,0,7,3,1,6,17
2024-05-14,FAC0156,4,0,73,27,2,5,8
2024-06-08,FAC0262,0,2,18,4,0,7,8
2023-05-04,FAC0086,15,21,229,86,9,1,10
2023-05-23,FAC0300,2,2,9,15,0,3,18
2024-06-23,FAC0253,1,1,20,16,0,3,14
2023-02-13,FAC0220,32,13,108,137,6,1,10
2023-12-31,FAC0105,3,2,11,19,2,5,25
2023-02-04,FAC0045,3,4,29,8,0,8,14
2023-06-24,FAC0187,42,19,283,62,2,7,11
2024-05-16,FAC0059,0,2,23,13,0,3,12
2023-11-11,FAC0295,2,0,12,2,1,7,13
2023-09-22,FAC0095,5,0,24,16,1,6,14
2023-07-04,FAC0181,2,1,34,13,0,3,15
2023-09-02,FAC0124,11,22,106,154,7,2,22
2023-03-03,FAC0240,1,1,8,8,0,6,13
2024-07-28,FAC0045,4,4,20,17,0,5,16
2024-06-27,FAC0288,3,1,19,4,0,5,11
2023-02-02,FAC0212,5,1,51,4,6,6,15
2024-07-12,FAC0179,5,5,37,6,2,10,15
2023-03-07,FAC0090,1,2,19,11,0,7,14
2024-10-05,FAC0214,2,2,11,8,1,4,10
2023-05-08,FAC0269,0,0,18,6,0,6,10
2024-12-12,FAC0169,8,8,32,55,2,4,13
2023-03-07,FAC0273,3,2,17,14,2,6,9
2024-09-03,FAC0093,12,2,144,159,0,4,12
2024-10-18,FAC0003,0,2,12,8,1,5,7
2024-03-24,FAC0008,0,0,22,2,0,2,6
2024-09-09,FAC0026,0,1,8,5,1,8,12
2023-07-13,FAC0037,24,20,83,88,2,9,13
2024-03-17,FAC0254,0,1,10,6,1,5,11
2023-10-30,FAC0164,1,0,6,8,0,5,12
2024-12-16,FAC0038,5,4,55,9,1,8,16
2024-12-18,FAC0298,1,0,9,10,0,1,19
2024-12-29,FAC0163,0,2,24,5,0,4,15
2024-02-22,FAC0019,1,2,13,18,1,5,13
2023-01-04,FAC0100,9,10,188,88,3,6,18
2024-11-17,FAC0293,2,2,16,8,0,7,28
2023-04-25,FAC0028,1,5,23,23,1,9,18
2023-09-16,FAC0078,4,0,21,7,0,2,11
2024-08-07,FAC0150,0,1,14,16,0,1,16
2023-10-11,FAC0201,4,5,58,7,1,3,10
2024-05-05,FAC0040,0,1,12,4,1,5,11
2024-10-03,FAC0031,12,28,119,272,6,1,12
2023-03-26,FAC0228,3,1,20,4,1,5,10
2024-01-20,FAC0213,2,3,9,18,0,8,18
2023-08-05,FAC0025,0,3,9,17,1,1,13
2024-09-20,FAC0161,0,0,3,8,1,5,8
2024-12-07,FAC0071,0,1,8,3,1,5,9
2024-06-18,FAC0273,3,3,11,20,2,6,7
2023-07-20,FAC0246,4,5,47,12,0,2,10
2023-01-01,FAC0016,1,1,9,9,1,6,14
2024-04-04,FAC0210,7,0,26,24,2,4,6
2023-07-20,FAC0262,1,2,9,13,1,4,15
2023-01-04,FAC0235,2,3,26,5,1,8,8
2023-02-27,FAC0125,0,2,14,9,0,6,15
2023-11-01,FAC0020,1,1,12,8,1,5,9
2024-04-13,FAC0074,0,0,4,4,1,4,11
2024-05-16,FAC0122,2,0,10,5,1,3,12
2023-12-24,FAC0045,0,0,24,13,1,8,16
2024-09-16,FAC0296,24,45,338,61,6,4,11
2023-10-29,FAC0031,50,2,126,265,1,1,7
2023-12-30,FAC0020,2,2,14,6,0,4,6
2024-11-20,FAC0121,1,2,22,23,1,3,11
2024-12-26,FAC0297,1,1,15,6,0,7,5
2023-08-31,FAC0272,3,1,9,13,1,8,11
2023-12-07,FAC0093,38,2,201,102,4,6,17
2024-08-14,FAC0147,6,4,22,19,2,4,15
2023-12-30,FAC0143,5,2,41,53,1,8,15
2023-05-08,FAC0078,3,0,15,13,2,2,9
2024-11-27,FAC0144,0,3,25,3,2,7,17
2023-04-12,FAC0110,3,4,33,8,1,5,17
2023-08-11,FAC0225,4,1,16,14,0,7,10
2024-09-21,FAC0282,3,1,17,18,1,1,15
2023-11-02,FAC0179,6,2,17,26,2,9,15
2023-06-22,FAC0126,2,1,28,9,0,3,23
